item_a,item_name_a,item_b,item_name_b,co_occurrence_count,affinity_rank
102900011030059,Yunnan Lettuce (Bag),106949711300259,Needle Mushroom (Box),27615,1
102900005117056,Paopaojiao (Jingpin),102900005125808,Millet Pepper,27595,3
102900005115878,Garden Chrysanthemum,102900005116714,Broccoli,27354,3
102900005115823,Shanghaiqing,102900005116899,Net Lotus Root (1),27198,5
102900005116899,Net Lotus Root (1),106949711300259,Needle Mushroom (Box),27079,5
102900005116547,Needle Mushroom (1),102900011016701,Wuhu Green Pepper (1),27054,3
102900005117056,Paopaojiao (Jingpin),102900011000328,Luosi Pepper,26715,4
102900005122654,Zhijiang Red Bolt,102900011016701,Wuhu Green Pepper (1),26618,1
102900005115908,Caixin,102900005116714,Broccoli,26454,1
102900005115250,Xixia Black Mushroom (1),102900005116714,Broccoli,26125,2
102900011034026,Zhijiang Qinggengsanhua,106949711300259,Needle Mushroom (Box),26022,1
102900005115960,Chinese Cabbage,102900011016701,Wuhu Green Pepper (1),25819,5
102900005116233,Red Pepper (1),102900005116899,Net Lotus Root (1),25789,4
102900005115908,Caixin,102900005116530,Xixia Mushroom (1),25616,2
102900005115908,Caixin,102900005117056,Paopaojiao (Jingpin),25010,3
102900005115861,Niushou Youcai,102900005116530,Xixia Mushroom (1),24995,1
102900005115786,Zhuyecai,102900005116530,Xixia Mushroom (1),24702,3
102900005115878,Garden Chrysanthemum,102900005116899,Net Lotus Root (1),23701,4
102900005115861,Niushou Youcai,102900005117056,Paopaojiao (Jingpin),23505,2
102900005115762,Amaranth,102900005116714,Broccoli,23432,2
102900005117056,Paopaojiao (Jingpin),102900005125815,Apricot Bao Mushroom (1),23258,5
102900011030059,Yunnan Lettuce (Bag),102900011034026,Zhijiang Qinggengsanhua,23147,2
102900005115861,Niushou Youcai,102900005116714,Broccoli,22701,3
102900005115786,Zhuyecai,102900011000328,Luosi Pepper,22587,4
102900005115786,Zhuyecai,102900005116257,Eggplant (2),22521,5
102900005115908,Caixin,102900011016701,Wuhu Green Pepper (1),22434,4
102900005116547,Needle Mushroom (1),102900005116899,Net Lotus Root (1),22191,4
102900005116233,Red Pepper (1),102900005116257,Eggplant (2),21662,5
102900005115762,Amaranth,102900005115779,Yunnan Shengcai,20631,3
102900005115861,Niushou Youcai,102900005116899,Net Lotus Root (1),20491,4
102900011000328,Luosi Pepper,102900011009970,Qinggengsanhua,20489,2
102900011031100,Millet Pepper (Bag),106949711300259,Needle Mushroom (Box),20100,1
102900005115250,Xixia Black Mushroom (1),102900005116257,Eggplant (2),19564,3
102900005116547,Needle Mushroom (1),102900011009970,Qinggengsanhua,19409,5
102900005119975,Hongshujian,102900011000328,Luosi Pepper,19384,2
102900005116837,Ping Mushroom,102900005117056,Paopaojiao (Jingpin),18253,1
102900011030059,Yunnan Lettuce (Bag),102900011030097,Yunnan Leaf Lettuce (Bag),18188,3
102900005125808,Millet Pepper,102900011000328,Luosi Pepper,18008,2
102900005125808,Millet Pepper,102900011009970,Qinggengsanhua,17713,3
102900011032251,Luosi Pepper (Bag),106949711300259,Needle Mushroom (Box),17359,1
102900005115908,Caixin,102900005116899,Net Lotus Root (1),17350,5
102900011030059,Yunnan Lettuce (Bag),102900011031100,Millet Pepper (Bag),17148,4
102900005115878,Garden Chrysanthemum,102900005117056,Paopaojiao (Jingpin),16636,5
102900011000328,Luosi Pepper,102900051010455,Huangbaicai (2),16354,3
102900005125815,Apricot Bao Mushroom (1),102900011016701,Wuhu Green Pepper (1),16079,1
102900011030097,Yunnan Leaf Lettuce (Bag),106949711300259,Needle Mushroom (Box),15975,1
102900005116837,Ping Mushroom,102900005116899,Net Lotus Root (1),15787,2
102900005116509,Green Eggplant (1),102900005116714,Broccoli,15542,1
102900011009970,Qinggengsanhua,102900051010455,Huangbaicai (2),15465,2
102900011033906,Powcan Mountain Chinese Cabbage ,106949711300259,Needle Mushroom (Box),15433,1
102900005116837,Ping Mushroom,102900011016701,Wuhu Green Pepper (1),15324,3
102900011030059,Yunnan Lettuce (Bag),102900011032251,Luosi Pepper (Bag),14970,5
102900005118831,Wawacai,106949711300259,Needle Mushroom (Box),14938,2
102900005118817,Spinach,102900011000328,Luosi Pepper,14854,2
102900011031100,Millet Pepper (Bag),102900011034026,Zhijiang Qinggengsanhua,14730,2
102900005115250,Xixia Black Mushroom (1),102900005116899,Net Lotus Root (1),14710,4
102900011000328,Luosi Pepper,102900011008164,Naibaicai,14602,4
102900005116509,Green Eggplant (1),102900011016701,Wuhu Green Pepper (1),14515,2
102900005115250,Xixia Black Mushroom (1),102900005117056,Paopaojiao (Jingpin),14430,5
102900005115861,Niushou Youcai,102900005115960,Chinese Cabbage,14263,5
102900005119975,Hongshujian,102900051010455,Huangbaicai (2),14180,3
102900011034231,Cabbage Stem (Bag),106949711300259,Needle Mushroom (Box),14103,1
102900005115762,Amaranth,102900005116257,Eggplant (2),14087,4
102900011030097,Yunnan Leaf Lettuce (Bag),102900011034026,Zhijiang Qinggengsanhua,14009,2
102900005116943,Red Hang Pepper,102900011016701,Wuhu Green Pepper (1),13692,1
102900005115762,Amaranth,102900005116530,Xixia Mushroom (1),13671,5
102900011032251,Luosi Pepper (Bag),102900011034026,Zhijiang Qinggengsanhua,13669,2
102900011000328,Luosi Pepper,102900051004294,Green Line Pepper,13389,5
102900005119975,Hongshujian,102900011009970,Qinggengsanhua,12955,4
102900011006689,Dongmenkou Xiaobaicai,102900011016701,Wuhu Green Pepper (1),12873,1
102900011009970,Qinggengsanhua,102900051004294,Green Line Pepper,12526,3
102900005116509,Green Eggplant (1),102900005116530,Xixia Mushroom (1),12469,3
102900005125808,Millet Pepper,102900051010455,Huangbaicai (2),12442,4
102900011033906,Powcan Mountain Chinese Cabbage ,102900011034026,Zhijiang Qinggengsanhua,12386,2
102900011034026,Zhijiang Qinggengsanhua,102900011034231,Cabbage Stem (Bag),12316,2
102900005125815,Apricot Bao Mushroom (1),102900011009970,Qinggengsanhua,12186,2
102900005116790,Yellow Xincai (1),102900011016701,Wuhu Green Pepper (1),12106,1
102900005118817,Spinach,102900011009970,Qinggengsanhua,11997,3
102900005125808,Millet Pepper,102900051004294,Green Line Pepper,11931,5
102900005116509,Green Eggplant (1),102900005117056,Paopaojiao (Jingpin),11598,4
102900005116790,Yellow Xincai (1),102900005117056,Paopaojiao (Jingpin),11505,2
102900011008522,Sweet Chinese Cabbage,102900011016701,Wuhu Green Pepper (1),11319,1
102900011030110,Spinach (Bag),106949711300259,Needle Mushroom (Box),11046,1
102900005119975,Hongshujian,102900005125808,Millet Pepper,10953,5
102900011021842,Honghu Lotus Root Powder (Fenou),106949711300259,Needle Mushroom (Box),10883,1
102900011031100,Millet Pepper (Bag),102900011032251,Luosi Pepper (Bag),10749,3
102900011033944,Apricot Bao Mushroom (2),106949711300259,Needle Mushroom (Box),10745,1
102900005118824,High Melon (1),102900011016701,Wuhu Green Pepper (1),10693,1
102900005118817,Spinach,102900005125808,Millet Pepper,10617,4
102900011030097,Yunnan Leaf Lettuce (Bag),102900011031100,Millet Pepper (Bag),10584,3
102900005115793,Chinese Cabbage,102900005116714,Broccoli,10543,1
102900005125815,Apricot Bao Mushroom (1),102900011000328,Luosi Pepper,10470,3
102900005115946,Muercai,102900011016701,Wuhu Green Pepper (1),10349,1
102900005125815,Apricot Bao Mushroom (1),102900051010455,Huangbaicai (2),9719,4
102900005116226,Green Hot Peppers,102900011016701,Wuhu Green Pepper (1),9599,1
102900005115946,Muercai,102900005116714,Broccoli,9594,2
102900005118817,Spinach,102900011008164,Naibaicai,9451,5
102900005116226,Green Hot Peppers,102900005116530,Xixia Mushroom (1),9427,2
102900005115885,Caidian Quinoa Artemisia,102900011016701,Wuhu Green Pepper (1),9418,1
102900005115793,Chinese Cabbage,102900011016701,Wuhu Green Pepper (1),9401,2
102900005115793,Chinese Cabbage,102900005116530,Xixia Mushroom (1),9357,3
102900011033944,Apricot Bao Mushroom (2),102900011034026,Zhijiang Qinggengsanhua,9261,2
102900005116943,Red Hang Pepper,102900005117056,Paopaojiao (Jingpin),9236,2
102900005116226,Green Hot Peppers,102900005116714,Broccoli,9235,3
102900005116837,Ping Mushroom,102900011009970,Qinggengsanhua,9175,4
102900005116790,Yellow Xincai (1),102900005116899,Net Lotus Root (1),9148,3
102900011032251,Luosi Pepper (Bag),102900011034231,Cabbage Stem (Bag),8991,3
102900005118831,Wawacai,102900011034026,Zhijiang Qinggengsanhua,8972,3
102900011032022,Xiaozhoupi (Bag),106949711300259,Needle Mushroom (Box),8963,1
102900051004294,Green Line Pepper,102900051010455,Huangbaicai (2),8886,1
102900005122654,Zhijiang Red Bolt,106949711300259,Needle Mushroom (Box),8846,2
102900011030097,Yunnan Leaf Lettuce (Bag),102900011034231,Cabbage Stem (Bag),8820,4
102900011030097,Yunnan Leaf Lettuce (Bag),102900011032251,Luosi Pepper (Bag),8814,5
102900011034026,Zhijiang Qinggengsanhua,102900011034224,Xiaoqingcai (Bag),8673,3
102900005119098,The Agaricus Bisporus,102900011016701,Wuhu Green Pepper (1),8535,1
102900005118831,Wawacai,102900011030059,Yunnan Lettuce (Bag),8467,4
102900005115168,Niushou Shengcai,102900011016701,Wuhu Green Pepper (1),8452,1
102900011013274,The White Mushroom (Bag),102900011016701,Wuhu Green Pepper (1),8451,1
102900011030110,Spinach (Bag),102900011034026,Zhijiang Qinggengsanhua,8417,2
102900011034224,Xiaoqingcai (Bag),106949711300259,Needle Mushroom (Box),8297,1
102900011031100,Millet Pepper (Bag),102900011033906,Powcan Mountain Chinese Cabbage ,8238,4
102900005116509,Green Eggplant (1),102900005116899,Net Lotus Root (1),8234,5
102900011008522,Sweet Chinese Cabbage,102900051010455,Huangbaicai (2),8030,2
102900011031100,Millet Pepper (Bag),102900011034231,Cabbage Stem (Bag),8027,5
102900005116837,Ping Mushroom,102900005118817,Spinach,8002,5
102900005115793,Chinese Cabbage,102900005117056,Paopaojiao (Jingpin),7912,4
102900011008164,Naibaicai,102900011009970,Qinggengsanhua,7827,2
102900011032022,Xiaozhoupi (Bag),102900011034026,Zhijiang Qinggengsanhua,7700,2
102900011008164,Naibaicai,102900051010455,Huangbaicai (2),7649,3
102900011021842,Honghu Lotus Root Powder (Fenou),102900011034026,Zhijiang Qinggengsanhua,7444,2
102900005116226,Green Hot Peppers,102900005117056,Paopaojiao (Jingpin),7338,4
102900011030110,Spinach (Bag),102900011031100,Millet Pepper (Bag),7309,3
102900005118831,Wawacai,102900011000328,Luosi Pepper,7227,5
102900011009277,Water Chestnut,102900011016701,Wuhu Green Pepper (1),7217,1
102900011021842,Honghu Lotus Root Powder (Fenou),102900011030059,Yunnan Lettuce (Bag),7178,3
102900011032251,Luosi Pepper (Bag),102900011033906,Powcan Mountain Chinese Cabbage ,7109,4
102900011034330,Agaricus Bisporus (Box),106949711300259,Needle Mushroom (Box),7099,1
102900005116790,Yellow Xincai (1),102900011009970,Qinggengsanhua,6993,4
102900005116226,Green Hot Peppers,102900005116899,Net Lotus Root (1),6952,5
102900011008522,Sweet Chinese Cabbage,102900011009970,Qinggengsanhua,6940,3
102900011033920,Huangxincai (2),106949711300259,Needle Mushroom (Box),6897,1
102900005122654,Zhijiang Red Bolt,102900011000328,Luosi Pepper,6864,3
102900005115793,Chinese Cabbage,102900005115984,Yunnan Lettuces,6829,5
102900011023464,Xiaoqingcai (1),106949711300259,Needle Mushroom (Box),6774,1
102900011022849,The Local Yellow Youcai,102900011034026,Needle Mushroom (Box),6694,2
102900011033920,Huangxincai (2),106949711300259,Zhijiang Qinggengsanhua,6694,1
102900005122654,Zhijiang Red Bolt,102900011009970,Qinggengsanhua,6594,4
102900011008164,Naibaicai,102900051004294,Green Line Pepper,6545,4
102900011008164,Naibaicai,106949711300259,Needle Mushroom (Box),6539,5
102900011030110,Spinach (Bag),102900011034231,Cabbage Stem (Bag),6509,4
102900005115199,Sichuan Red Cedar,102900011016701,Wuhu Green Pepper (1),6484,1
102900005116219,Red Hot Peppers,102900011016701,Wuhu Green Pepper (1),6458,1
102900005125815,Apricot Bao Mushroom (1),102900051004294,Green Line Pepper,6347,5
102900011035078,Red Pepper (2),106949711300259,Needle Mushroom (Box),6275,1
102900005122654,Zhijiang Red Bolt,102900005125808,Millet Pepper,6267,5
102900011030110,Spinach (Bag),102900011032251,Luosi Pepper (Bag),6246,5
102900005116943,Red Hang Pepper,102900011009970,Qinggengsanhua,6082,3
102900005115168,Niushou Shengcai,102900005116530,Xixia Mushroom (1),5969,2
102900005115748,White Caitai,102900011016701,Wuhu Green Pepper (1),5949,1
102900011032251,Luosi Pepper (Bag),102900011033944,Apricot Bao Mushroom (2),5870,5
102900005116943,Red Hang Pepper,102900011000328,Luosi Pepper,5848,4
102900005115885,Caidian Quinoa Artemisia,102900005116714,Broccoli,5822,2
102900011021842,Honghu Lotus Root Powder (Fenou),102900011031100,Millet Pepper (Bag),5797,4
102900005116943,Red Hang Pepper,102900005125808,Millet Pepper,5635,5
102900011030141,Shanghai Green (Bag),102900011034026,Zhijiang Qinggengsanhua,5511,1
102900011033944,Apricot Bao Mushroom (2),102900011034231,Cabbage Stem (Bag),5483,3
102900011032022,Xiaozhoupi (Bag),102900011032251,Luosi Pepper (Bag),5447,3
102900011030141,Shanghai Green (Bag),106949711300259,Needle Mushroom (Box),5400,2
102900011033906,Powcan Mountain Chinese Cabbage ,102900011034224,Xiaoqingcai (Bag),5379,3
102900011022849,The Local Yellow Youcai,102900011034026,Zhijiang Qinggengsanhua,5363,2
102900005115946,Muercai,102900005116530,Xixia Mushroom (1),5360,3
102900005116790,Yellow Xincai (1),102900011000328,Luosi Pepper,5329,5
102900005116219,Red Hot Peppers,102900005116714,Broccoli,5276,2
102900011023464,Xiaoqingcai (1),102900011030059,Yunnan Lettuce (Bag),5241,2
102900005118572,Local Shanghaiqing,102900011016701,Wuhu Green Pepper (1),5229,1
102900011034026,Zhijiang Qinggengsanhua,102900011034330,Agaricus Bisporus (Box),5227,4
102900005119944,Haixian Mushroom (1),102900011016701,Wuhu Green Pepper (1),5130,1
102900011023464,Xiaoqingcai (1),102900011031100,Millet Pepper (Bag),5097,3
102900005116912,Jigu Mushroom (1),102900005117056,Paopaojiao (Jingpin),5088,1
102900011033906,Powcan Mountain Chinese Cabbage ,102900011033944,Apricot Bao Mushroom (2),4980,4
102900011034026,Zhijiang Qinggengsanhua,102900051010455,Huangbaicai (2),4969,5
102900011021842,Honghu Lotus Root Powder (Fenou),102900011033906,Powcan Mountain Chinese Cabbage ,4947,5
102900005115946,Muercai,102900005116899,Net Lotus Root (1),4911,4
102900011006948,Foreign Garland Chrysanthemum ,102900011016701,Wuhu Green Pepper (1),4908,1
102900005115946,Muercai,102900005116257,Eggplant (2),4885,5
102900011000571,Suizhou Bubble Green,102900011016701,Wuhu Green Pepper (1),4864,1
102900005115168,Niushou Shengcai,102900005116714,Broccoli,4799,3
102900011033906,Powcan Mountain Chinese Cabbage ,102900011034231,Cabbage Stem (Bag),4678,5
102900011032022,Xiaozhoupi (Bag),102900011034231,Cabbage Stem (Bag),4661,4
102900011009444,Dalong Eggplant,102900011009970,Qinggengsanhua,4465,1
102900005115885,Caidian Quinoa Artemisia,102900005116899,Net Lotus Root (1),4452,3
102900011022849,The Local Yellow Youcai,102900011030059,Yunnan Lettuce (Bag),4387,3
102900011008522,Sweet Chinese Cabbage,102900051004294,Green Line Pepper,4355,4
102900011032619,Xixia Xianggu Mushroom (2),102900011034026,Zhijiang Qinggengsanhua,4311,1
102900011034224,Xiaoqingcai (Bag),102900011034231,Cabbage Stem (Bag),4288,2
102900011032022,Xiaozhoupi (Bag),102900011033906,Powcan Mountain Chinese Cabbage ,4253,5
102900005115885,Caidian Quinoa Artemisia,102900005116530,Xixia Mushroom (1),4243,4
102900005118824,High Melon (1),102900011000328,Luosi Pepper,4228,2
102900011009970,Qinggengsanhua,102900011021842,Honghu Lotus Root Powder (Fenou),4195,4
102900011022764,Changxianqie,102900051010455,Huangbaicai (2),4144,1
102900051010455,Huangbaicai (2),106949711300259,Needle Mushroom (Box),4112,1
102900011009970,Qinggengsanhua,106949711300068,Needle Mushroom (Bag) (3),4070,5
102900011023464,Xiaoqingcai (1),102900011034026,Zhijiang Qinggengsanhua,4047,4
102900011030134,Caixin (Bag),106949711300259,Needle Mushroom (Box),4033,1
102900005116219,Red Hot Peppers,102900005116530,Xixia Mushroom (1),3849,3
102900011009444,Dalong Eggplant,102900011016701,Wuhu Green Pepper (1),3845,2
102900011012994,Apricot Bao Mushroom (Bag),102900011016701,Wuhu Green Pepper (1),3825,1
102900011032732,High Melon (2),102900011034026,Zhijiang Qinggengsanhua,3823,1
102900005118824,High Melon (1),102900005119975,Hongshujian,3783,3
102900005116912,Jigu Mushroom (1),102900011016701,Wuhu Green Pepper (1),3764,2
102900011032237,Green Line Pepper (Bag),102900011034026,Zhijiang Qinggengsanhua,3727,1
102900011032237,Green Line Pepper (Bag),106949711300259,Needle Mushroom (Box),3665,2
102900011030141,Shanghai Green (Bag),102900011031100,Millet Pepper (Bag),3639,3
102900011023464,Xiaoqingcai (1),102900011032251,Luosi Pepper (Bag),3591,5
102900011030134,Caixin (Bag),102900011034026,Zhijiang Qinggengsanhua,3555,2
102900011032848,Ginger And Xiaomijiao Mix (Small Bag),106949711300259,Needle Mushroom (Box),3523,1
102900011033944,Apricot Bao Mushroom (2),102900011034224,Xiaoqingcai (Bag),3487,4
102900011034231,Cabbage Stem (Bag),102900011035078,Red Pepper (2),3354,2
102900011030141,Shanghai Green (Bag),102900011033906,Powcan Mountain Chinese Cabbage ,3298,4
102900005119944,Haixian Mushroom (1),102900011009970,Qinggengsanhua,3267,2
102900011030912,Haixian Mushroom (Bag),106949711300259,Needle Mushroom (Box),3264,1
102900011006689,Dongmenkou Xiaobaicai,102900011009970,Qinggengsanhua,3245,2
102900005115885,Caidian Quinoa Artemisia,102900005116257,Eggplant (2),3244,5
102900011001813,Needle Mushroom (Bag) (1),102900011009970,Qinggengsanhua,3204,1
102900011009444,Dalong Eggplant,102900051010455,Huangbaicai (2),3184,3
102900011034231,Cabbage Stem (Bag),102900051010455,Huangbaicai (2),3170,3
102900011022849,The Local Yellow Youcai,102900011033906,Powcan Mountain Chinese Cabbage ,3166,4
102900005119098,The Agaricus Bisporus,102900011009970,Qinggengsanhua,3157,2
102900011022849,The Local Yellow Youcai,102900011032251,Luosi Pepper (Bag),3071,5
102900005119098,The Agaricus Bisporus,102900011000328,Luosi Pepper,3056,3
102900011033920,Huangxincai (2),102900011034231,Cabbage Stem (Bag),3050,3
102900011032619,Xixia Xianggu Mushroom (2),106949711300259,Needle Mushroom (Box),3040,2
102900005115168,Niushou Shengcai,102900005116899,Net Lotus Root (1),3010,4
102900005118824,High Melon (1),102900051010455,Huangbaicai (2),3007,4
102900005115168,Niushou Shengcai,102900011000328,Luosi Pepper,2978,5
102900011030141,Shanghai Green (Bag),102900011034231,Cabbage Stem (Bag),2964,5
102900005118824,High Melon (1),102900011009970,Qinggengsanhua,2950,5
102900011034231,Cabbage Stem (Bag),102900011034330,Agaricus Bisporus (Box),2911,4
102900005115748,White Caitai,102900005116714,Broccoli,2908,2
102900011006689,Dongmenkou Xiaobaicai,102900011008164,Naibaicai,2906,3
102900011033920,Huangxincai (2),102900011034224,Xiaoqingcai (Bag),2895,4
102900005115854,Radish Leaves,102900011016701,Wuhu Green Pepper (1),2876,1
102900011030912,Haixian Mushroom (Bag),102900011034026,Zhijiang Qinggengsanhua,2860,2
102900005115199,Sichuan Red Cedar,102900005116714,Broccoli,2855,2
102900005119944,Haixian Mushroom (1),102900011000328,Luosi Pepper,2844,3
102900011022764,Changxianqie,102900011023464,Xiaoqingcai (1),2841,2
102900005116219,Red Hot Peppers,102900011000328,Luosi Pepper,2832,4
102900011010891,Wild Lotus Root (1),102900011016701,Wuhu Green Pepper (1),2821,1
102900005119944,Haixian Mushroom (1),102900051010455,Huangbaicai (2),2817,4
102900005119098,The Agaricus Bisporus,102900005125808,Millet Pepper,2800,4
102900011031926,Chinese Caterpillar Fungus Flowers (Bag),106949711300259,Needle Mushroom (Box),2778,1
102900011032732,High Melon (2),106949711300259,Needle Mushroom (Box),2744,2
102900011032848,Ginger And Xiaomijiao Mix (Small Bag),102900011034026,Zhijiang Qinggengsanhua,2727,2
102900005119944,Haixian Mushroom (1),102900005125808,Millet Pepper,2691,5
102900011022764,Changxianqie,102900051004294,Green Line Pepper,2680,3
102900005116912,Jigu Mushroom (1),102900011009970,Qinggengsanhua,2670,3
102900011009277,Water Chestnut,106949711300259,Needle Mushroom (Box),2668,2
102900005116219,Red Hot Peppers,102900005116257,Eggplant (2),2648,5
102900011032237,Green Line Pepper (Bag),102900011032251,Luosi Pepper (Bag),2606,3
102900011009277,Water Chestnut,102900011009970,Qinggengsanhua,2576,3
102900005115748,White Caitai,102900005115779,Yunnan Shengcai,2507,3
102900011006689,Dongmenkou Xiaobaicai,102900051004294,Green Line Pepper,2486,4
102900011006689,Dongmenkou Xiaobaicai,102900051010455,Huangbaicai (2),2475,5
102900011032619,Xixia Xianggu Mushroom (2),102900011034231,Cabbage Stem (Bag),2430,3
102900011033920,Huangxincai (2),102900011033944,Apricot Bao Mushroom (2),2424,5
102900011033944,Apricot Bao Mushroom (2),102900011034330,Agaricus Bisporus (Box),2414,5
102900005116912,Jigu Mushroom (1),102900011000328,Luosi Pepper,2412,4
102900005116912,Jigu Mushroom (1),102900051010455,Huangbaicai (2),2389,5
102900011032237,Green Line Pepper (Bag),102900011034231,Cabbage Stem (Bag),2384,4
102900005115748,White Caitai,102900005116530,Xixia Mushroom (1),2370,4
102900005117209,7 Colour Pepper (1),102900011016701,Wuhu Green Pepper (1),2356,1
102900011032619,Xixia Xianggu Mushroom (2),102900011034224,Xiaoqingcai (Bag),2320,4
102900011034439,Green And Red Hang Pepper Mix (Bag),106949711300259,Needle Mushroom (Box),2319,1
102900005119968,Green Hangzhou Pepper (2),102900011016701,Wuhu Green Pepper (1),2310,1
102900011030134,Caixin (Bag),102900011031100,Millet Pepper (Bag),2300,3
102900005115748,White Caitai,102900005115984,Yunnan Lettuces,2291,5
102900011022764,Changxianqie,102900011030059,Yunnan Lettuce (Bag),2290,4
102900011013274,The White Mushroom (Bag),106949711300259,Needle Mushroom (Box),2270,2
102900011009277,Water Chestnut,102900011021842,Honghu Lotus Root Powder (Fenou),2265,4
102900011009444,Dalong Eggplant,102900051004294,Green Line Pepper,2244,4
102900011030134,Caixin (Bag),102900011033906,Powcan Mountain Chinese Cabbage ,2233,4
102900005115199,Sichuan Red Cedar,102900005115779,Yunnan Shengcai,2171,3
102900011033937,Needle Mushroom (2),102900011034026,Zhijiang Qinggengsanhua,2132,1
102900011008522,Sweet Chinese Cabbage,102900011022764,Changxianqie,2123,5
102900051004294,Green Line Pepper,106949711300259,Needle Mushroom (Box),2119,2
102900005115199,Sichuan Red Cedar,102900005116257,Eggplant (2),2101,4
