transaction_date,item_code,item_name,category_name,sold_kg,returned_kg,return_rate_pct,avg_return_price
2021-03-15,102900011011546,Round Eggplant (2),Edible Mushroom,0.484,,0.0,
2021-03-15,102900005116226,Needle Mushroom (1),Capsicum,2.000,,0.0,
2021-03-15,102900005118831,Qinggengsanhua,Flower/Leaf Vegetables,2.228,,0.0,
2021-03-15,102900011008515,Yunnan Lettuces,Flower/Leaf Vegetables,25.000,,0.0,
2021-03-16,102900011000328,Hongshujian,Capsicum,2.013,,0.0,
2021-03-16,102900005115823,The Crab Flavor Mushroom (Bag),Flower/Leaf Vegetables,12.822,,0.0,
2021-03-16,102900005115786,Huangbaicai (2),Flower/Leaf Vegetables,0.685,,0.0,
2021-03-16,102900005116233,Wawacai,Capsicum,0.461,,0.0,
2021-03-16,102900011021842,Millet Pepper,Aquatic Tuberous Vegetables,15.655,,0.0,
2021-03-17,102900005115908,Dongmenkou Xiaobaicai,Flower/Leaf Vegetables,0.317,,0.0,
2021-03-17,102900005116233,Pepper Mix,Capsicum,19.986,,0.0,
2021-03-16,102900005125815,Green Line Pepper,Edible Mushroom,21.000,,0.0,
2021-03-16,102900011008164,Chinese Cabbage,Flower/Leaf Vegetables,0.753,,0.0,
2021-03-17,102900005116547,Hongshujian,Edible Mushroom,3.017,,0.0,
2021-03-17,102900011001806,Hongshujian,Edible Mushroom,3.045,,0.0,
2021-03-18,102900011001806,Caidian Quinoa Artemisia,Edible Mushroom,2.000,,0.0,
2021-03-18,102900005116714,Caixin,Cabbage,7.576,,0.0,
2021-03-18,102900011006689,Haixian Mushroom (Bag) (4),Flower/Leaf Vegetables,2.494,,0.0,
2021-03-18,102900005125808,Yellow Xincai (1),Capsicum,12.000,,0.0,
2021-03-18,102900005118831,Qinggengsanhua,Flower/Leaf Vegetables,0.995,,0.0,
2021-03-17,102900005119098,Green Hot Peppers,Edible Mushroom,6.000,,0.0,
2021-03-17,102900011013274,Miantiaocai,Edible Mushroom,2.208,,0.0,
2021-03-19,102900005116530,Wuhu Green Pepper (1),Edible Mushroom,1.697,,0.0,
2021-03-19,102900011000571,Amaranth,Flower/Leaf Vegetables,0.222,,0.0,
2021-03-19,102900005116943,Yunnan Shengcai,Capsicum,1.078,,0.0,
2021-03-20,102900005115878,Pepper Mix,Flower/Leaf Vegetables,0.298,,0.0,
2021-03-20,102900011016701,Naibaicai,Capsicum,7.542,,0.0,
2021-03-20,102900005115762,Fresh Black Fungus (1),Flower/Leaf Vegetables,3.000,,0.0,
2021-03-20,102900005118817,Chinese Cabbage,Flower/Leaf Vegetables,12.000,,0.0,
2021-03-20,102900011008164,Shanghaiqing,Flower/Leaf Vegetables,8.572,,0.0,
2021-03-20,102900005115199,Haixian Mushroom (Bag) (4),Flower/Leaf Vegetables,1.122,,0.0,
2021-03-21,102900005115199,The Agaricus Bisporus,Flower/Leaf Vegetables,9.901,,0.0,
2021-03-21,102900005115748,Chinese Cabbage,Flower/Leaf Vegetables,5.179,,0.0,
2021-03-21,102900011000328,Needle Mushroom (Bag) (3),Capsicum,1.056,,0.0,
2021-03-21,102900005125815,Chinese Cabbage,Edible Mushroom,0.652,,0.0,
2021-03-21,102900005115878,Panax Notoginseng,Flower/Leaf Vegetables,12.409,,0.0,
2021-03-21,102900051010455,Amaranth,Flower/Leaf Vegetables,6.000,,0.0,
2021-03-21,102900005118817,Red Hang Pepper,Flower/Leaf Vegetables,17.510,,0.0,
2021-03-21,102900011001806,Zhuyecai,Edible Mushroom,2.205,,0.0,
2021-03-21,106930274220092,The Agaricus Bisporus,Edible Mushroom,0.491,,0.0,
2021-03-21,102900005118824,Xixia Mushroom (1),Aquatic Tuberous Vegetables,0.106,,0.0,
2021-03-20,102900011002414,Green Line Pepper,Flower/Leaf Vegetables,1.909,,0.0,
2021-03-22,102900005116899,Apricot Bao Mushroom (Bag),Aquatic Tuberous Vegetables,16.223,,0.0,
2021-03-22,102900005115984,The Crab Flavor Mushroom (Bag),Flower/Leaf Vegetables,10.703,,0.0,
2021-03-22,102900005116547,Apricot Bao Mushroom (Bag),Edible Mushroom,17.246,,0.0,
2021-03-22,102900011000571,Luosi Pepper,Flower/Leaf Vegetables,1.703,,0.0,
2021-03-22,102900005118824,The White Mushroom (Bag),Aquatic Tuberous Vegetables,2.406,,0.0,
2021-03-22,102900005115908,Wuhu Green Pepper (1),Flower/Leaf Vegetables,36.155,,0.0,
2021-03-22,102900005115885,Yunnan Shengcai,Flower/Leaf Vegetables,30.386,,0.0,
2021-03-23,102900005115823,Naibaicai,Flower/Leaf Vegetables,4.564,,0.0,
2021-03-23,102900005116547,Qinggengsanhua,Edible Mushroom,2.457,,0.0,
2021-03-23,102900005116899,Perilla,Aquatic Tuberous Vegetables,14.412,,0.0,
2021-03-23,106949711300068,Wuhu Green Pepper (1),Edible Mushroom,9.148,,0.0,
2021-03-22,102900011002414,Yellow Xincai (1),Flower/Leaf Vegetables,1.000,,0.0,
2021-03-23,102900005118831,Garden Chrysanthemum,Flower/Leaf Vegetables,1.452,,0.0,
2021-03-24,106958851400125,Honghu Lotus Root Powder (Fenou),Edible Mushroom,3.000,,0.0,
2021-03-24,102900005118824,Green Hot Peppers,Aquatic Tuberous Vegetables,11.000,,0.0,
2021-03-24,102900011001806,Garden Chrysanthemum,Edible Mushroom,32.135,,0.0,
2021-03-24,102900005115823,Machixian,Flower/Leaf Vegetables,7.091,,0.0,
2021-03-24,102900005116790,White Caitai,Flower/Leaf Vegetables,12.427,,0.0,
2021-03-25,102900005115908,Net Lotus Root (1),Flower/Leaf Vegetables,4.000,,0.0,
2021-03-25,102900005116257,Panax Notoginseng,Solanum,0.921,,0.0,
2021-03-25,102900005116714,Red Pepper (1),Cabbage,2.729,,0.0,
2021-03-25,102900005118817,Dongmenkou Xiaobaicai,Flower/Leaf Vegetables,4.323,,0.0,
2021-03-24,102900005115908,Needle Mushroom (Bag) (3),Flower/Leaf Vegetables,8.195,,0.0,
2021-03-24,102900005115199,Jigu Mushroom (Bunch),Flower/Leaf Vegetables,0.056,,0.0,
2021-03-25,102900005116943,Fresh Black Fungus (1),Capsicum,2.000,,0.0,
2021-03-25,102900005118824,The White Mushroom (Bag),Aquatic Tuberous Vegetables,11.000,,0.0,
2021-03-25,102900011012994,Youcaitai,Edible Mushroom,2.035,,0.0,
2021-03-25,102900005116226,Xixia Mushroom (1),Capsicum,11.519,,0.0,
2021-03-26,102900005115793,Luosi Pepper,Flower/Leaf Vegetables,24.094,,0.0,
2021-03-26,102900005116837,White Caitai,Edible Mushroom,4.219,,0.0,
2021-03-26,102900005119098,Hongshujian,Edible Mushroom,1.313,,0.0,
2021-03-25,102900051009220,Apricot Bao Mushroom (1),Flower/Leaf Vegetables,0.932,,0.0,
2021-03-27,102900005116899,Shanghaiqing,Aquatic Tuberous Vegetables,4.771,,0.0,
2021-03-27,102900011000328,Round Eggplant (2),Capsicum,3.562,,0.0,
2021-03-27,102900005119975,Wawacai,Flower/Leaf Vegetables,9.162,,0.0,
2021-03-27,102900005125815,White Caitai,Edible Mushroom,3.716,,0.0,
2021-03-27,102900011012994,Amaranth,Edible Mushroom,14.483,,0.0,
2021-03-27,106949711300068,Shanghaiqing,Edible Mushroom,2.922,,0.0,
2021-03-26,102900051000463,Green Eggplant (1),Solanum,4.377,,0.0,
2021-03-28,102900005115199,Red Hang Pepper,Flower/Leaf Vegetables,2.202,,0.0,
2021-03-28,102900011016701,Naibaicai,Capsicum,7.000,,0.0,
2021-03-28,102900011008164,Green Line Pepper,Flower/Leaf Vegetables,2.029,,0.0,
2021-03-28,102900005115823,Apricot Bao Mushroom (1),Flower/Leaf Vegetables,3.749,,0.0,
2021-03-28,102900005116509,Haixian Mushroom (Bag) (4),Solanum,8.028,,0.0,
2021-03-28,102900005115960,Caixin,Flower/Leaf Vegetables,3.007,,0.0,
2021-03-28,102900005118817,Ping Mushroom,Flower/Leaf Vegetables,21.591,,0.0,
2021-03-28,102900005116226,Yunnan Lettuces,Capsicum,34.885,,0.0,
2021-03-27,102900011006689,Luosi Pepper,Flower/Leaf Vegetables,15.653,,0.0,
2021-03-29,102900011016701,Wawacai,Capsicum,16.000,,0.0,
2021-03-29,102900005115823,High Melon (1),Flower/Leaf Vegetables,4.000,,0.0,
2021-03-29,106949711300068,White Caitai,Edible Mushroom,5.000,,0.0,
2021-03-29,102900005115960,High Melon (1),Flower/Leaf Vegetables,2.222,,0.0,
2021-03-28,102900005115786,Red Pepper (1),Flower/Leaf Vegetables,40.769,,0.0,
2021-03-29,102900005116790,Hongshujian,Flower/Leaf Vegetables,16.000,,0.0,
2021-03-29,102900005125808,Chinese Cabbage,Capsicum,3.291,,0.0,
2021-03-29,102900011002414,Green Eggplant (1),Flower/Leaf Vegetables,7.000,,0.0,
2021-03-30,102900011016701,The White Mushroom (Bag),Capsicum,0.384,,0.0,
2021-03-30,102900011009246,Wawacai,Edible Mushroom,9.000,,0.0,
2021-03-30,102900005115199,Chinese Caterpillar Fungus Flowers,Flower/Leaf Vegetables,1.110,,0.0,
2021-03-31,102900011016701,Green Hot Peppers,Capsicum,1.725,-1.722,0.0,
2021-03-31,102900011008164,Shanghaiqing,Flower/Leaf Vegetables,5.000,,0.0,
2021-03-31,102900011021842,Naibaicai,Aquatic Tuberous Vegetables,2.296,,0.0,
2021-03-31,102900011009246,Zhuyecai,Edible Mushroom,0.161,,0.0,
2021-03-31,106949711300068,Youcaitai,Edible Mushroom,1.722,,0.0,
2021-03-31,106958851400125,Apricot Bao Mushroom (Bag),Edible Mushroom,5.867,,0.0,
2021-04-01,102900011016701,Chinese Cabbage,Capsicum,3.673,,0.0,
2021-04-01,102900005116714,Caidian Quinoa Artemisia,Cabbage,6.141,,0.0,
2021-04-01,102900051010455,Amaranth,Flower/Leaf Vegetables,2.000,,0.0,
2021-04-01,102900005115199,Pepper Mix,Flower/Leaf Vegetables,3.000,,0.0,
2021-04-01,102900005116226,Net Lotus Root (1),Capsicum,5.000,,0.0,
2021-04-01,102900005116943,Chinese Cabbage,Capsicum,3.346,,0.0,
2021-04-01,102900011008164,Round Eggplant (2),Flower/Leaf Vegetables,10.746,,0.0,
2021-04-02,102900005119975,Haixian Mushroom (Bag) (4),Flower/Leaf Vegetables,13.016,,0.0,
2021-04-02,102900011009970,Zhuyecai,Cabbage,2.504,,0.0,
2021-04-02,102900005119944,Caidian Quinoa Artemisia,Edible Mushroom,0.802,,0.0,
2021-04-02,102900005116899,Round Eggplant (2),Aquatic Tuberous Vegetables,19.877,,0.0,
2021-04-01,102900011001806,Caidian Quinoa Artemisia,Edible Mushroom,20.970,,0.0,
2021-04-03,102900005116714,Ping Mushroom,Cabbage,0.658,,0.0,
2021-04-03,102900005115885,Yellow Xincai (1),Flower/Leaf Vegetables,5.624,,0.0,
2021-04-03,102900005118817,Haixian Mushroom (1),Flower/Leaf Vegetables,13.000,,0.0,
2021-04-03,102900011016701,Pepper Mix,Capsicum,1.000,,0.0,
2021-04-03,102900005115960,Eggplant (2),Flower/Leaf Vegetables,7.416,,0.0,
2021-04-03,102900011021842,Panax Notoginseng,Aquatic Tuberous Vegetables,24.616,,0.0,
2021-04-03,102900005118824,Haixian Mushroom (Bag) (4),Aquatic Tuberous Vegetables,14.000,,0.0,
2021-04-03,102900005119098,Wawacai,Edible Mushroom,2.860,,0.0,
2021-04-03,102900011013274,Chinese Cabbage,Edible Mushroom,1.172,,0.0,
2021-04-04,102900005116257,Green Hot Peppers,Solanum,9.325,,0.0,
2021-04-04,102900005115779,Apricot Bao Mushroom (Bag),Flower/Leaf Vegetables,2.353,,0.0,
2021-04-04,102900005116547,Wild Lotus Root (1),Edible Mushroom,1.000,,0.0,
2021-04-04,102900011000328,Perilla,Capsicum,1.122,,0.0,
2021-04-04,102900051010790,Apricot Bao Mushroom (Bag),Flower/Leaf Vegetables,4.243,,0.0,
2021-04-03,102900005115878,Xixia Mushroom (1),Flower/Leaf Vegetables,1.697,,0.0,
2021-04-04,106930274220092,Ping Mushroom,Edible Mushroom,0.379,,0.0,
2021-04-04,102900011013274,Zhuyecai,Edible Mushroom,9.741,,0.0,
2021-04-04,102900011007464,Green Hot Peppers,Flower/Leaf Vegetables,16.856,,0.0,
2021-04-05,102900005116943,Sichuan Red Cedar,Capsicum,2.157,,0.0,
2021-04-05,102900011021842,Apricot Bao Mushroom (1),Aquatic Tuberous Vegetables,3.313,,0.0,
2021-04-05,102900005119975,Red Hang Pepper,Flower/Leaf Vegetables,34.581,,0.0,
2021-04-05,106958851400125,Dalong Eggplant,Edible Mushroom,2.117,,0.0,
2021-04-05,102900051004294,Garden Chrysanthemum,Capsicum,1.000,,0.0,
2021-04-05,102900005115960,Mint,Flower/Leaf Vegetables,71.096,,0.0,
2021-04-05,102900005115885,Green Eggplant (1),Flower/Leaf Vegetables,8.247,,0.0,
2021-04-05,102900051010455,Yunnan Lettuces,Flower/Leaf Vegetables,0.300,,0.0,
2021-04-05,102900011012994,Qinggengsanhua,Edible Mushroom,3.865,,0.0,
2021-04-05,102900005116790,Sichuan Red Cedar,Flower/Leaf Vegetables,3.000,,0.0,
2021-04-05,102900051010790,Naibaicai,Flower/Leaf Vegetables,1.152,,0.0,
2021-04-05,102900005119098,Youcaitai,Edible Mushroom,0.303,,0.0,
2021-04-06,102900005116714,The Crab Flavor Mushroom (Bag),Cabbage,14.035,,0.0,
2021-04-06,102900011006689,Ping Mushroom,Flower/Leaf Vegetables,7.770,,0.0,
2021-04-06,102900051004294,Red Pepper (1),Capsicum,0.594,,0.0,
2021-04-06,102900005115908,Zhuyecai,Flower/Leaf Vegetables,2.204,,0.0,
2021-04-06,102900005116530,Yellow Xincai (1),Edible Mushroom,11.177,,0.0,
2021-04-06,102900005115779,Millet Pepper,Flower/Leaf Vegetables,3.210,,0.0,
2021-04-06,102900005116547,Wuhu Green Pepper (1),Edible Mushroom,2.000,,0.0,
2021-04-06,102900051009220,Spinach,Flower/Leaf Vegetables,16.272,,0.0,
2021-04-05,102900005118817,Needle Mushroom (Bag) (3),Flower/Leaf Vegetables,1.366,,0.0,
2021-04-06,102900005118824,Hongshujian,Aquatic Tuberous Vegetables,3.547,,0.0,
2021-04-07,102900005116714,Millet Pepper,Cabbage,6.256,,0.0,
2021-04-07,102900005116509,Eggplant (2),Solanum,3.980,,0.0,
2021-04-07,102900011008164,Yellow Xincai (1),Flower/Leaf Vegetables,0.565,,0.0,
2021-04-07,102900005116943,Dongmenkou Xiaobaicai,Capsicum,1.277,,0.0,
2021-04-08,102900005116790,Wuhu Green Pepper (1),Flower/Leaf Vegetables,3.000,,0.0,
2021-04-08,102900005115762,Caidian Quinoa Artemisia,Flower/Leaf Vegetables,0.450,,0.0,
2021-04-08,102900051004294,Perilla,Capsicum,1.000,,0.0,
2021-04-08,102900005119098,Wawacai,Edible Mushroom,12.367,,0.0,
2021-04-08,102900005116943,Green Eggplant (1),Capsicum,20.369,,0.0,
2021-04-08,102900005125815,Round Eggplant (2),Edible Mushroom,2.000,,0.0,
2021-04-07,102900011022030,Purple Beicai,Capsicum,5.000,,0.0,
2021-04-09,102900011002414,Jigu Mushroom (Bunch),Flower/Leaf Vegetables,0.390,,0.0,
2021-04-09,102900005118817,Xixia Mushroom (1),Flower/Leaf Vegetables,7.627,,0.0,
2021-04-09,102900005116233,Needle Mushroom (1),Capsicum,0.086,,0.0,
2021-04-09,102900005116837,Luosi Pepper,Edible Mushroom,0.351,,0.0,
2021-04-09,102900005115885,Ping Mushroom,Flower/Leaf Vegetables,2.524,,0.0,
2021-04-09,102900051009220,Huangbaicai (2),Flower/Leaf Vegetables,11.277,,0.0,
2021-04-10,102900005115779,Broccoli,Flower/Leaf Vegetables,4.000,,0.0,
2021-04-10,102900005115762,Dongmenkou Xiaobaicai,Flower/Leaf Vegetables,0.096,,0.0,
2021-04-10,106949711300068,Yunnan Shengcai,Edible Mushroom,9.000,,0.0,
2021-04-10,102900005115878,Caidian Quinoa Artemisia,Flower/Leaf Vegetables,17.648,,0.0,
2021-04-10,102900011022030,Yunnan Shengcai,Capsicum,13.890,,0.0,
2021-04-11,102900011009970,High Melon (1),Cabbage,4.379,,0.0,
2021-04-11,102900005125808,Zhuyecai,Capsicum,0.131,,0.0,
2021-04-11,102900005116233,Wawacai,Capsicum,0.766,,0.0,
2021-04-11,102900005125815,Pepper Mix,Edible Mushroom,3.785,,0.0,
2021-04-11,102900051010790,Haixian Mushroom (Bag) (4),Flower/Leaf Vegetables,4.801,,0.0,
2021-04-11,102900005116509,Xixia Mushroom (1),Solanum,14.742,,0.0,
2021-04-11,102900005118831,Chinese Caterpillar Fungus Flowers,Flower/Leaf Vegetables,45.504,,0.0,
2021-04-11,102900005115786,Net Lotus Root (1),Flower/Leaf Vegetables,17.112,,0.0,
2021-04-11,102900005115908,Fresh Black Fungus (1),Flower/Leaf Vegetables,12.423,,0.0,
2021-04-12,102900005118817,Broccoli,Flower/Leaf Vegetables,15.292,,0.0,
2021-04-12,102900005115984,Millet Pepper,Flower/Leaf Vegetables,3.779,,0.0,
2021-04-12,106958851400125,Yellow Xincai (1),Edible Mushroom,1.965,,0.0,
2021-04-13,102900005125808,Sichuan Red Cedar,Capsicum,3.000,,0.0,
2021-04-13,102900011013274,Needle Mushroom (1),Edible Mushroom,9.036,,0.0,
2021-04-13,102900011009246,High Melon (1),Edible Mushroom,5.221,,0.0,
2021-04-13,106949711300068,Green Hangzhou Pepper (2),Edible Mushroom,0.721,,0.0,
2021-04-14,102900005115786,Caidian Quinoa Artemisia,Flower/Leaf Vegetables,1.000,,0.0,
2021-04-14,102900005116530,Red Hang Pepper,Edible Mushroom,5.886,,0.0,
2021-04-14,106958851400125,Broccoli,Edible Mushroom,5.000,,0.0,
2021-04-15,102900005125808,Luosi Pepper,Capsicum,6.865,,0.0,
2021-04-15,102900005115199,Perilla,Flower/Leaf Vegetables,9.362,,0.0,
2021-04-15,102900005116547,Fresh Black Fungus (1),Edible Mushroom,2.137,,0.0,
2021-04-15,102900005116837,Perilla,Edible Mushroom,1.590,,0.0,
2021-04-14,102900011021842,Chinese Cabbage,Aquatic Tuberous Vegetables,4.268,,0.0,
2021-04-15,102900005118824,Red Pepper (1),Aquatic Tuberous Vegetables,2.149,,0.0,
2021-04-16,102900005115762,Naibaicai,Flower/Leaf Vegetables,1.000,,0.0,
2021-04-16,102900011009970,Millet Pepper,Cabbage,0.427,,0.0,
2021-04-16,102900005115779,High Melon (1),Flower/Leaf Vegetables,0.602,,0.0,
2021-04-16,102900005119975,Machixian,Flower/Leaf Vegetables,5.000,,0.0,
2021-04-16,102900005116547,Spinach,Edible Mushroom,4.000,,0.0,
2021-04-16,102900005116509,Eggplant (2),Solanum,4.010,,0.0,
2021-04-16,102900011000328,Qinggengsanhua,Capsicum,6.101,,0.0,
2021-04-16,102900005115908,Net Lotus Root (1),Flower/Leaf Vegetables,1.177,,0.0,
2021-04-16,102900011001806,Mint,Edible Mushroom,2.956,,0.0,
2021-04-16,102900051010455,Green Hot Peppers,Flower/Leaf Vegetables,4.275,,0.0,
2021-04-16,102900011012994,Round Eggplant (2),Edible Mushroom,43.035,,0.0,
2021-04-17,102900005115762,Muercai,Flower/Leaf Vegetables,0.263,,0.0,
2021-04-17,102900011009444,Apricot Bao Mushroom (Bag),Solanum,10.339,,0.0,
2021-04-17,102900005116714,Caixin,Cabbage,2.338,,0.0,
2021-04-17,102900005115854,Honghu Lotus Root Powder (Fenou),Flower/Leaf Vegetables,15.000,,0.0,
2021-04-17,102900005116530,Eggplant (2),Edible Mushroom,1.083,,0.0,
2021-04-17,102900011008164,Amaranth,Flower/Leaf Vegetables,2.616,,0.0,
2021-04-17,102900005116509,Luosi Pepper,Solanum,36.928,,0.0,
2021-04-18,102900005116714,Millet Pepper,Cabbage,34.316,,0.0,
2021-04-18,102900005116233,Chinese Cabbage,Capsicum,4.000,,0.0,
