item_code,item_name,category_name,price_elasticity_coeff
102900011022849,Wild Lotus Root (2),Flower/Leaf Vegetables,-nan
102900011026502,Green Caitai,Aquatic Tuberous Vegetables,-nan
102900011030912,Needle Mushroom (2),Flower/Leaf Vegetables,-nan
102900011031582,Chinese Cabbage (Bag),Edible Mushroom,-inf
102900011033173,Fresh Edible Fungus (2),Edible Mushroom,-nan
102900005115625,Shanghai Green (Bag),Flower/Leaf Vegetables,-nan
102900011031742,Red Bell Pepper (2),Flower/Leaf Vegetables,-nan
102900005115878,Fresh Black Fungus (1),Capsicum,-nan
102900011033999,The Crab Flavor Mushroom (Box),Flower/Leaf Vegetables,-nan
102900011035771,Needle Mushroom (1),Flower/Leaf Vegetables,-nan
102900005116905,Zhuyecai (Bag),Edible Mushroom,-nan
102900011033920,Zhimaxiancai,Aquatic Tuberous Vegetables,-nan
102900011023464,Apricot Bao Mushroom (Bag),Edible Mushroom,-nan
102900005115748,Xianzongye (Bag) (3),Edible Mushroom,-nan
102900005119975,The Agaricus Bisporus,Edible Mushroom,-nan
102900011033234,Hongshan Shoutidai,Edible Mushroom,-nan
102900011030622,Local Shanghaiqing,Edible Mushroom,-nan
102900005117209,Ganlanye,Flower/Leaf Vegetables,-nan
102900011000861,The Fungus Mushroom Hot Pot Package (Bag),Edible Mushroom,-nan
102900011023976,Hongshan Gift Box,Edible Mushroom,-nan
102900011001691,Red Bell Pepper (Bag),Flower/Leaf Vegetables,-nan
102900011029688,Chinese Cabbage Seedling,Capsicum,-nan
102900051009336,Green Line Pepper,Edible Mushroom,-nan
102900011006689,Green Hangzhou Pepper (2),Flower/Leaf Vegetables,-nan
102900011033982,Xiuzhen Mushroom,Aquatic Tuberous Vegetables,-nan
102900011032343,Powcan Mountain Chinese Cabbage ,Capsicum,-nan
102900005115908,Sichuan Red Cedar,Capsicum,-nan
102900051010790,Xianzongye (Bag) (2),Edible Mushroom,-nan
102900011007969,Chinese Cabbage,Flower/Leaf Vegetables,-nan
102900011032848,Water Chestnut (Bag),Flower/Leaf Vegetables,-nan
102900011035740,Lameizi,Edible Mushroom,-nan
102900011036068,Garden Chrysanthemum (Bag),Edible Mushroom,-nan
102900005122654,High Melon (2),Flower/Leaf Vegetables,-nan
102900011018095,Needle Mushroom (Bag) (1),Edible Mushroom,-nan
102900011021644,Wuhu Green Pepper (1),Edible Mushroom,-nan
102900005115762,Green Line Pepper (Bag),Edible Mushroom,-nan
102900011027615,Red Hot Peppers,Capsicum,-nan
102900011007464,Haixian Mushroom (1),Flower/Leaf Vegetables,-nan
102900011015384,Naibaicai,Capsicum,inf
102900011008485,Radish Leaves,Cabbage,-nan
102900011000632,Huanghuacai,Flower/Leaf Vegetables,
102900011006948,Apricot Bao Mushroom (250 G),Flower/Leaf Vegetables,-nan
102900011036266,Yunnan Leaf Lettuce (Bag),Edible Mushroom,-nan
102900005116639,Xixia Xianggu Mushroom (Bag),Flower/Leaf Vegetables,-nan
102900005115984,Kuaicai,Aquatic Tuberous Vegetables,-nan
102900011001219,Ice Grass,Capsicum,-nan
102900011033531,Xiaoqingcai (Bag),Flower/Leaf Vegetables,-nan
102900005115816,Local Xiaomao Cabbage,Flower/Leaf Vegetables,-nan
102900005123880,Xiaoqingcai (1),Cabbage,
102900011000571,Red Hang Pepper (Bag),Edible Mushroom,-nan
102900011022764,Red Hang Pepper,Edible Mushroom,-nan
102900011009772,Hongshujian (Bag),Capsicum,-nan
106930274220092,Red Pepper (1),Edible Mushroom,-nan
102900011012482,Round Eggplant (1),Edible Mushroom,-nan
102900011032480,Yellow Baicai (1),Edible Mushroom,-nan
102900011032633,Ice Grass (Box),Edible Mushroom,-nan
106930274620090,Caidian Quinoa Artemisia (Bag),Flower/Leaf Vegetables,-nan
102900011012871,Water Chestnut (Lingjiao),Edible Mushroom,-nan
106949711300167,Shuanggou Cabbage,Flower/Leaf Vegetables,-nan
102900011011058,Chinese Caterpillar Fungus Flowers,Flower/Leaf Vegetables,-nan
102900011032350,Dongmenkou Xiaobaicai,Capsicum,-nan
102900051000890,The Local Yellow Youcai,Capsicum,-nan
102900011030905,Fresh Rice Dumplings Leaves,Aquatic Tuberous Vegetables,-nan
102900011008492,Haixian Mushroom (Bag),Capsicum,-nan
102900011032282,Green Hot Peppers (Bag),Flower/Leaf Vegetables,-nan
102900011032619,Sophora Japonica,Flower/Leaf Vegetables,
102900005115250,Bell Pepper (Bag),Edible Mushroom,-inf
102900011010563,Needle Mushroom (Bag),Flower/Leaf Vegetables,-nan
102900011036242,Needle Mushroom (Bag) (3),Aquatic Tuberous Vegetables,-nan
102900011018132,Garden Chrysanthemum,Flower/Leaf Vegetables,-nan
102900011029305,7 Colour Pepper (1),Aquatic Tuberous Vegetables,-nan
102900005115786,Red Line Pepper,Flower/Leaf Vegetables,-nan
102900005118817,Net Lotus Root (2),Capsicum,-nan
102900011023075,Black Porcini (Box),Edible Mushroom,-nan
102900011032251,Green Hangjiao (1),Edible Mushroom,-nan
102900011021842,Huangxincai (2),Flower/Leaf Vegetables,-nan
102900011029275,White Caitai,Flower/Leaf Vegetables,-inf
102900011029299,Hongshujian,Flower/Leaf Vegetables,-nan
102900011008676,Wawacai,Edible Mushroom,-nan
106958851400125,The Steak Mushrooms,Flower/Leaf Vegetables,-nan
102900005115779,Chinese Caterpillar Fungus Flowers (Bag),Cabbage,-nan
102900011035078,Sweet Chinese Cabbage,Edible Mushroom,-nan
102900005115823,Yuganjiao,Capsicum,-nan
102900011009970,Niushou Shengcai,Edible Mushroom,inf
102900011034026,Foreign Garland Chrysanthemum  (Bag),Edible Mushroom,-nan
102900011036686,Ping Mushroom,Flower/Leaf Vegetables,-nan
102900011034538,Wild Lotus Root (1),Edible Mushroom,-nan
102900051004294,Fruit Pepper (Bag),Solanum,-nan
102900011030417,Green Butter,Aquatic Tuberous Vegetables,-nan
102900011031759,Aihao,Flower/Leaf Vegetables,-nan
106971563780002,Yellow Xincai (1),Solanum,-nan
102900011032237,The White Mushroom (Bag),Capsicum,-nan
102900011032114,7 Colour Pepper (Bag),Flower/Leaf Vegetables,-nan
102900011035849,Amaranth (Bag),Flower/Leaf Vegetables,-nan
102900005115793,Youcaitai,Aquatic Tuberous Vegetables,-nan
102900005119968,Net Lotus Root (1),Aquatic Tuberous Vegetables,-nan
102900011011669,Siguajian,Edible Mushroom,-nan
102900011033906,Luosi Pepper,Capsicum,-nan
102900011029176,Panax Notoginseng,Edible Mushroom,-nan
102900011030103,The Crab Flavor Mushroom (1),Edible Mushroom,-nan
102900011032732,The Steak Mushrooms (Box),Edible Mushroom,-nan
102900011001813,Xixia Mushroom (1),Flower/Leaf Vegetables,-nan
102900011016701,Paopaojiao (Jingpin),Edible Mushroom,-nan
102900005116219,Round Eggplant,Edible Mushroom,-nan
102900005119944,Hericium ,Flower/Leaf Vegetables,-nan
102900011008164,Chuncai,Solanum,-nan
102900005115199,Pepper Mix,Flower/Leaf Vegetables,-nan
102900011000175,Jigu Mushroom (1),Flower/Leaf Vegetables,-nan
102900011006955,Spinach,Flower/Leaf Vegetables,inf
102900011034224,Tea Tree Mushroom (Bag),Edible Mushroom,-nan
102900005115854,Big Broccoli,Edible Mushroom,-nan
102900005128748,Xiangtianhongcaitai (Bag),Edible Mushroom,-nan
102900011026793,Xixia Xianggu Mushroom (2),Aquatic Tuberous Vegetables,-nan
102900011030097,Xixia Black Mushroom (1),Capsicum,-nan
102900011035788,Chicken Fir Bacteria,Flower/Leaf Vegetables,-nan
102900011032022,Green And Red Jian Pepper Mix (Bag),Flower/Leaf Vegetables,-nan
102900051000944,Black Chicken  Mushroom,Flower/Leaf Vegetables,-nan
102900011032626,Honghu Lotus Root Powder (Fenou),Flower/Leaf Vegetables,-nan
102900005118824,Purple Hot Peppers,Flower/Leaf Vegetables,-nan
102900011022924,Purple Screw Pepper,Edible Mushroom,-nan
102900011034705,Yuxingcao (Bag),Edible Mushroom,-nan
106972776821582,Artemisia Stelleriana,Flower/Leaf Vegetables,-nan
102900011033937,Fresh Sea (2),Capsicum,-nan
102900011034217,Haixian Mushroom (Bag) (2),Edible Mushroom,-nan
102900005125808,Zhijiang Qinggengsanhua,Flower/Leaf Vegetables,-3.999999999999999
102900011032176,Muercai (Bag),Capsicum,-nan
102900005125815,Haixian Mushroom (Bag) (4),Flower/Leaf Vegetables,-nan
102900011030110,Black Mushroom (Bag),Edible Mushroom,-nan
102900011033913,Wild Pink Lotus Root,Aquatic Tuberous Vegetables,-nan
102900005116547,Fruit Chili,Capsicum,-7.768115942028986
102900011032787,White Jelly Mushroom,Flower/Leaf Vegetables,-nan
102900011034316,Black Porcini,Capsicum,-nan
102900011012994,Bell Pepper (2),Aquatic Tuberous Vegetables,-nan
102900005119098,Broccoli,Flower/Leaf Vegetables,-nan
102900011030400,Luosi Pepper (Bag),Edible Mushroom,-nan
102900011035962,Red Pepper (2),Edible Mushroom,inf
102900005115977,Shanghaiqing,Edible Mushroom,-nan
102900005116226,Qinggengsanhua,Edible Mushroom,-nan
102900005118572,Needle Mushroom (Bag) (2),Capsicum,-nan
102900011015391,Zhuyecai,Solanum,-nan
102900011030141,Jicai,Edible Mushroom,-nan
102900011032367,Yunnan Shengcai,Flower/Leaf Vegetables,-nan
102900011009246,Green Eggplant (1),Flower/Leaf Vegetables,-nan
106957634300058,Niushou Youcai,Flower/Leaf Vegetables,inf
102900011031926,Chinese Cabbage,Capsicum,-nan
102900011010891,Lotus (Ea),Flower/Leaf Vegetables,-nan
102900005118831,Fresh Lotus Root Zone (Bag),Flower/Leaf Vegetables,-nan
102900011026618,Eggplant (2),Flower/Leaf Vegetables,-nan
102900011033081,Chopped Red Pine,Flower/Leaf Vegetables,-nan
102900011034200,Jigu (2),Solanum,-nan
102900051009220,Net Lotus Root (3),Flower/Leaf Vegetables,-nan
102900011008522,Mint,Flower/Leaf Vegetables,-nan
102900011028407,Millet Pepper (Bag),Edible Mushroom,-nan
102900005116790,Green And Red Hang Pepper Mix (Bag),Edible Mushroom,-nan
102900005115168,Lotus Root Tip,Flower/Leaf Vegetables,-inf
102900011035481,Huangbaicai (2),Capsicum,-nan
102900005119104,Chinese Caterpillar Fungus Flowers (Box) (2),Capsicum,-nan
102900005116899,Agaricus Bisporus (Bag),Aquatic Tuberous Vegetables,-nan
102900005116837,Xixia Black Mushroom (2),Edible Mushroom,inf
102900011030608,Xianzongye (Bag) (1),Capsicum,-nan
102900011013274,Tremella (Flower),Aquatic Tuberous Vegetables,-nan
102900011031735,Red Pepper (Bag),Flower/Leaf Vegetables,-nan
102900011021699,Longyacai,Edible Mushroom,-nan
102900005116912,Zhijiang Red Bolt (Bag),Capsicum,-nan
102900011032220,Embroidered Aureus (Bag),Flower/Leaf Vegetables,-nan
102900011033586,The Dandelion,Capsicum,-nan
102900011022030,Haixian Mushroom (Bunch),Flower/Leaf Vegetables,-nan
102900005116530,Black Chicken Fir Bacteria (Box),Flower/Leaf Vegetables,-nan
102900011000328,Agaricus Bisporus (Box),Flower/Leaf Vegetables,-nan
102900005117056,Jigu Mushroom (Bunch),Flower/Leaf Vegetables,-nan
102900011000335,The White Mushroom (2),Edible Mushroom,-nan
102900011008577,Muercai,Capsicum,-inf
102900011008133,Round Eggplant (2),Flower/Leaf Vegetables,0.0
102900011002414,Hfyg Haixian Mushroom (Bunch),Capsicum,-nan
